intg_id,intg_cat1,intg_cat2,intg_cat3,intg_cat4
C10_TRVL_020,여행/서비스,상품권/e쿠폰,문화/레져,테마파크/아쿠아리움
C10_TRVL_021,여행/서비스,상품권/e쿠폰,문화/레져,스파/워터파크
C10_TRVL_022,여행/서비스,상품권/e쿠폰,웨딩,웨딩/사진
C10_TRVL_023,여행/서비스,렌탈/배달/서비스,렌탈,정수기/커피머신렌탈
C10_TRVL_024,여행/서비스,렌탈/배달/서비스,렌탈,욕실/주방가전렌탈
C10_TRVL_025,여행/서비스,렌탈/배달/서비스,렌탈,가전/컴퓨터렌탈
C10_TRVL_026,여행/서비스,렌탈/배달/서비스,렌탈,가구/이미용/교육렌탈
C10_TRVL_027,여행/서비스,렌탈/배달/서비스,렌탈,자동차/레져렌탈
C10_TRVL_028,여행/서비스,렌탈/배달/서비스,배달,꽃/과일
C10_TRVL_029,여행/서비스,렌탈/배달/서비스,배달,화환/난/화분
C10_TRVL_030,여행/서비스,렌탈/배달/서비스,서비스,이사/설치/무형서비스
